vision_score,vad_score,oww_score,output
0.000000,0.000000,0.001910,0
0.000000,0.472636,0.068140,0
0.133298,0.526669,0.001488,0
0.117028,0.000000,0.001263,0
0.100430,0.000000,0.001274,0
0.112394,0.000000,0.001619,0
0.126337,0.000000,0.001328,0
0.054179,0.000000,0.008184,0
0.148979,0.000000,0.009168,0
0.154219,0.672762,0.002587,0
0.146301,0.607837,0.011604,0
0.149324,0.612803,0.287764,0
0.106731,0.603574,0.977289,0
0.030596,0.704506,0.991881,0
0.020327,0.000000,0.001222,0
0.035791,0.797868,0.017560,0
0.015722,0.000000,0.008702,0
0.008489,0.789123,0.122117,0
0.006311,0.000000,0.001380,0
0.007847,0.000000,0.007434,0
0.040613,0.559679,0.004829,0
0.060188,0.668366,0.001412,0
0.029013,0.627909,0.980749,0
0.041901,0.636362,0.792879,0
0.020191,0.000000,0.005894,0
0.018697,0.684251,0.624658,0
0.024560,0.454068,0.001797,0
0.025281,0.607454,0.007193,0
0.009974,0.000000,0.001994,0
0.010448,0.000000,0.001709,0
0.021569,0.539079,0.041518,0
0.024725,0.484917,0.103331,0
0.018942,0.570547,0.002322,0
0.014908,0.000000,0.024873,0
0.025787,0.504813,0.675649,0
0.022248,0.651636,0.393296,0
0.017647,0.577438,0.852341,0
0.011280,0.596475,0.020009,0
0.009425,0.000000,0.061075,0
0.008112,0.000000,0.001574,0
0.038286,0.494293,0.983890,0
0.018583,0.000000,0.003387,0
0.025932,0.592663,0.002721,0
0.019008,0.685230,0.160565,0
0.026886,0.578086,0.094187,0
0.026131,0.548338,0.185087,0
0.010328,0.598241,0.527998,0
0.010140,0.000000,0.002450,0
0.006077,0.000000,0.001598,0
0.011535,0.000000,0.001301,0
0.017661,0.000000,0.001329,0
0.020620,0.000000,0.003429,0
0.063685,0.605726,0.001971,0
0.026418,0.464107,0.987925,0
0.039672,0.643613,0.020164,0
0.079641,0.000000,0.001434,0
0.076495,0.594075,0.025172,0
0.032946,0.000000,0.307137,0
0.019212,0.528844,0.973327,0
0.007755,0.550199,0.014687,0
0.012252,0.417850,0.001686,0
0.003705,0.649210,0.684666,0
0.003578,0.577676,0.002769,0
0.005445,0.540347,0.001302,0
0.039184,0.000000,0.008098,0
0.100309,0.712481,0.005792,0
0.001076,0.519136,0.741505,0
0.081357,0.000000,0.020690,0
0.002696,0.758176,0.007865,0
0.002358,0.000000,0.001584,0
0.002976,0.000000,0.014992,0
0.003056,0.000000,0.001361,0
0.002995,0.000000,0.001623,0
0.002987,0.000000,0.004933,0
0.000063,0.776728,0.009813,0
0.031521,0.456705,0.008337,0
0.062927,0.759449,0.012175,0
0.074325,0.628718,0.004330,0
0.166418,0.581733,0.011422,0
0.085529,0.614506,0.011401,0
0.010479,0.388425,0.202300,0
0.022840,0.477467,0.003731,0
0.096397,0.570193,0.002512,0
0.193086,0.000000,0.002114,0
0.114391,0.000000,0.001312,0
